cve_id,url
CVE-2024-3033,https://github.com/mintplex-labs/anything-llm/commit/bf8df60c02b9ddc7ba682809ca12c5637606393a
CVE-2024-31451,https://github.com/arc53/DocsGPT/commit/d36f58230a326ecacb9c32a4ae8eac65666044f2
CVE-2024-3279,https://github.com/mintplex-labs/anything-llm/commit/08d33cfd8fc47c5052b6ea29597c964a9da641e2
CVE-2024-3153,https://github.com/mintplex-labs/anything-llm/commit/b8d37d9f43af2facab4c51146a46229a58cb53d9
CVE-2024-3271,https://github.com/run-llama/llama_index/commit/5fbcb5a8b9f20f81b791c7fc8849e352613ab475
CVE-2024-3149,https://github.com/mintplex-labs/anything-llm/commit/f4088d9348fa86dcebe9f97a18d39c0a6e92f15e
CVE-2024-34359,https://github.com/abetlen/llama-cpp-python/commit/b454f40a9a1787b2b5659cd2cb00819d983185df
CVE-2024-32965,https://github.com/lobehub/lobe-chat/commit/e960a23b0c69a5762eb27d776d33dac443058faf
CVE-2024-3429,https://github.com/parisneo/lollms/commit/f4424cfc3d6dfb3ad5ac17dd46801efe784933e9
CVE-2024-3283,https://github.com/mintplex-labs/anything-llm/commit/52fac844221a9b951d08ceb93c4c014e9397b1f2
CVE-2024-32964,https://github.com/lobehub/lobe-chat/commit/465665a735556669ee30446c7ea9049a20cc7c37
CVE-2024-35198,https://github.com/pytorch/serve/pull/3082
CVE-2024-3322,https://github.com/parisneo/lollms-webui/commit/1e17df01e01d4d33599db2afaafe91d90b6f0189
CVE-2024-31462,https://github.com/AUTOMATIC1111/stable-diffusion-webui/commit/d9708c92b444894bce8070e4dcfaa093f8eb8d43
CVE-2024-35199,https://github.com/pytorch/serve/pull/3083
CVE-2024-3166,https://github.com/mintplex-labs/anything-llm/commit/fa27103d032c58904c49b92ee13fabc19a20a5ce
CVE-2024-3435,https://github.com/parisneo/lollms-webui/commit/bb99b59e710d00c4f2598faa5e183fa30fbd3bc2
CVE-2024-34073,https://github.com/aws/sagemaker-python-sdk/pull/4556
CVE-2024-34072,https://github.com/aws/sagemaker-python-sdk/pull/4557
CVE-2024-3570,https://github.com/mintplex-labs/anything-llm/commit/a4ace56a401ffc8ce0082d7444159dfd5dc28834
CVE-2024-3568,https://github.com/huggingface/transformers/commit/693667b8ac8138b83f8adb6522ddaf42fa07c125
CVE-2024-37032,https://github.com/ollama/ollama/pull/4175
CVE-2024-3569,https://github.com/mintplex-labs/anything-llm/commit/efe9dfa5e3550d12abd34d06ab7f8fbcf2206cfa
CVE-2024-4151,https://github.com/lunary-ai/lunary/commit/ddfd497afd017a6946c582a1a806687fdac888bf
CVE-2024-38514,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web/commit/dad122199a85c2f12277593973e1784b212adf5e
CVE-2024-42479,https://github.com/ggerganov/llama.cpp/commit/b72942fac998672a79a1ae3c03b340f7e629980b
CVE-2024-4078,https://github.com/parisneo/lollms/commit/7ebe08da7e0026b155af4f7be1d6417bc64cf02f
CVE-2024-41130,https://github.com/ggerganov/llama.cpp/commit/07283b1a90e1320aae4762c7e03c879043910252
CVE-2024-3924,https://github.com/huggingface/text-generation-inference/commit/88702d876383f7200eccf67e28ba00500dc804bb
CVE-2024-3402,https://www.github.com/gaizhenbiao/chuanhuchatgpt/commit/868767ecf7367e5ba86a351626b1a912afea5237
CVE-2024-42478,https://github.com/ggerganov/llama.cpp/commit/b72942fac998672a79a1ae3c03b340f7e629980b
CVE-2024-42477,https://github.com/ggerganov/llama.cpp/commit/b72942fac998672a79a1ae3c03b340f7e629980b
CVE-2024-4284,https://github.com/mintplex-labs/anything-llm/commit/1b35bcbeab10b77e6dbd263cceecf1b965a40789
CVE-2024-4181,https://github.com/run-llama/llama_index/commit/d73715eaf0642705583e7897c78b9c8dd2d3a7ba
CVE-2024-4286,https://github.com/mintplex-labs/anything-llm/commit/1b35bcbeab10b77e6dbd263cceecf1b965a40789
CVE-2024-4498,https://www.github.com/parisneo/lollms-webui/commit/1b12f0d698a6a5df43d5cd7f7a137b2d1cb75d25
CVE-2024-4343,https://github.com/imartinez/privategpt/commit/86368c61760c9cee5d977131d23ad2a3e063cbe9
CVE-2024-4315,https://github.com/parisneo/lollms/commit/95ad36eeffc6a6be3e3f35ed35a384d768f0ecf6
CVE-2024-4287,https://github.com/mintplex-labs/anything-llm/commit/94b58249a37a21b1c08deaa2d1edfdecbb6deb18
CVE-2024-41950,https://github.com/deepset-ai/haystack/pull/8095
CVE-2024-4403,https://www.github.com/parisneo/lollms-webui/commit/34f0e78ea4a8c5d2e829b1309eb92e7b29984bbb
CVE-2024-45201,https://github.com/run-llama/llama_index/pull/13523
CVE-2024-4326,https://github.com/parisneo/lollms-webui/commit/abb4c6d495a95a3ef5b114ffc57f85cd650b905e
